"","data$description"
"1714","Bei einem Familientreffen in Rostock wurde ich Opfer von Diskriminierung, als einige Familienmitglieder mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, an den Gesprächen teilzunehmen, wurde ich ignoriert und marginalisiert."
"1715","Beim Besuch eines Zoos in Cottbus wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1716","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1717","Beim Besuch einer Bibliothek in Heidelberg wurde ich diskriminiert, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"1718","Beim Besuch einer Ausstellung in Berlin wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1719","Bei einem Familientreffen in Rostock wurde ich Opfer von Diskriminierung, als einige Familienmitglieder mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, an den Gesprächen teilzunehmen, wurde ich ignoriert und marginalisiert."
"1720","Bei der Bewerbung um ein Austauschprogramm in Essen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"1721","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1722","Beim Besuch eines Fitnessstudios in Halle wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Fitnessstudios, und baten mich, das Gelände zu verlassen."
"1723","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1724","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1725","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1726","Auf dem Weg zur Universität in München wurde ich mit Diskriminierung konfrontiert, als Studenten mich aufforderten, den Ort wegen meines Hijabs zu verlassen. Sie beleidigten mich und machten abfällige Bemerkungen über mich."
"1727","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"1728","Bei der Bewerbung um eine freiwillige Stelle in Kassel wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meines Engagements und meiner Motivation wurde ich aus dem Freiwilligenteam ausgeschlossen."
"1729","Bei einem Stadtteilmeeting in Leipzig wurde ich mit Diskriminierung konfrontiert, als einige Bewohner beleidigende Bemerkungen über meine Religion machten. Trotz meiner Bemühungen, an der Diskussion teilzunehmen, wurde ich ausgeschlossen und ignoriert."
"1730","Bei einem Besuch einer Ausstellung in Ingolstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1731","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"1732","Bei einem Stadtteilmeeting in Leipzig wurde ich mit Diskriminierung konfrontiert, als einige Bewohner beleidigende Bemerkungen über meine Religion machten. Trotz meiner Bemühungen, an der Diskussion teilzunehmen, wurde ich ausgeschlossen und ignoriert."
"1733","Bei einem Besuch im Museum in Essen wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1734","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"1735","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1736","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1737","Beim Besuch eines Fitnessstudios in Halle wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Fitnessstudios, und baten mich, das Gelände zu verlassen."
"1738","Bei einem Abendessen im Restaurant in Würzburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1739","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"1740","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1741","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1742","Bei einem Zoobesuch in Erlangen wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1743","Bei einem Besuch im Zoo in Osnabrück wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1744","Bei einem Besuch einer Ausstellung in Darmstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1745","Bei der Bewerbung um eine Stelle in Nuremberg wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1746","Bei der Bewerbung um ein Mentorenprogramm in Mönchengladbach wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"1747","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1748","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"1749","Bei einem Friseurbesuch in Wiesbaden wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meines muslimischen Glaubens zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"1750","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1751","Bei der Teilnahme an einer Konferenz in Paderborn wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"1752","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1753","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"1754","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"1755","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"1756","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"1757","Bei einer friedlichen Kundgebung in Berlin wurde ich aufgrund meines muslimischen Glaubens diskriminiert. Die Demonstranten hinderten mich daran, an der Veranstaltung teilzunehmen, und behandelten mich aufgrund meines Hijabs respektlos."
"1758","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1759","Bei der Teilnahme an einer politischen Versammlung in Recklinghausen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"1760","Bei der Bewerbung um eine Stelle in Bochum wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1761","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"1762","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"1763","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"1764","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"1765","Bei einem Bibliotheksbesuch in Magdeburg wurde ich Opfer von Diskriminierung, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"1766","Auf dem Weg zur Universität in München wurde ich mit Diskriminierung konfrontiert, als Studenten mich aufforderten, den Ort wegen meines Hijabs zu verlassen. Sie beleidigten mich und machten abfällige Bemerkungen über mich."
"1767","Beim Besuch eines Konzerts in Oberhausen wurde ich diskriminiert, als Sicherheitskräfte mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich vom Konzert ausgeschlossen."
"1768","Bei der Teilnahme an einer kulturellen Veranstaltung in Stuttgart wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"1769","Bei einem Abendessen im Restaurant in Oldenburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"1770","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"1771","Bei einer friedlichen Kundgebung in Berlin wurde ich aufgrund meines muslimischen Glaubens diskriminiert. Die Demonstranten hinderten mich daran, an der Veranstaltung teilzunehmen, und behandelten mich aufgrund meines Hijabs respektlos."
"1772","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"1773","Bei der Teilnahme an einer kulturellen Veranstaltung in Stuttgart wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
